,image_id,healthy,multiple_diseases,rust,scab
0,Test_0,0.008878468,0.43881032,0.54983795,0.0024732575
1,Test_1,0.0002572848,0.0035326343,0.9961921,1.7911296e-05
2,Test_2,0.013424636,0.11642105,0.0010513704,0.86910295
3,Test_3,0.9062291,0.059402276,0.00011572377,0.034252886
4,Test_4,0.0012691285,0.0776937,0.9208735,0.00016368474
5,Test_5,0.51035386,0.41228968,0.05107717,0.026279308
6,Test_6,0.9166359,0.060926687,0.0001584622,0.022278935
7,Test_7,0.008957021,0.2217102,0.002195008,0.76713777
8,Test_8,0.85933125,0.0754465,0.00061221386,0.064610004
9,Test_9,3.5793637e-05,2.9580531e-05,0.9998456,8.907545e-05
10,Test_10,0.0029687425,0.322587,0.6733502,0.0010940158
11,Test_11,0.8903296,0.080270104,0.00043397504,0.028966311
12,Test_12,0.82874334,0.1197791,0.0010629377,0.05041462
13,Test_13,0.90878737,0.058078136,0.00011208249,0.033022456
14,Test_14,2.886908e-12,4.4778252e-12,1.0,4.3913735e-09
15,Test_15,0.0009966062,0.021652197,0.9772743,7.685585e-05
16,Test_16,0.9160051,0.0698846,0.00023832891,0.013872062
17,Test_17,0.01646725,0.12326923,0.0013618133,0.85890174
18,Test_18,0.9102054,0.06710324,0.0003374143,0.022353936
19,Test_19,1.0591403e-05,0.00070308056,0.99928623,1.6883146e-07
20,Test_20,0.019803395,0.114243895,0.0011190706,0.86483365
21,Test_21,0.28788048,0.284159,0.0061415224,0.421819
22,Test_22,0.00082745857,0.06582944,0.9331683,0.00017487461
23,Test_23,0.037740238,0.17918177,0.0021783698,0.78089964
24,Test_24,0.84338003,0.09138709,0.00095896143,0.06427393
25,Test_25,0.7450707,0.09423823,0.0020178584,0.15867324
26,Test_26,0.06965997,0.36629707,0.005071479,0.55897146
27,Test_27,0.0047912714,0.43049192,0.5630642,0.0016526097
28,Test_28,0.8925151,0.06411546,0.00011860133,0.043250788
29,Test_29,0.023369996,0.47254038,0.49829292,0.0057966993
30,Test_30,0.9140542,0.064385794,0.00038078395,0.021179173
31,Test_31,0.0028360058,0.16396214,0.83272976,0.0004721074
32,Test_32,0.039903946,0.74810743,0.19841775,0.013570869
33,Test_33,0.0011130653,0.081547305,0.00046683,0.91687286
34,Test_34,0.9100923,0.065167576,0.00040841836,0.02433177
35,Test_35,0.20645843,0.14603701,0.0038915975,0.643613
36,Test_36,0.001412633,0.091455154,0.90693665,0.00019561563
37,Test_37,0.8991069,0.07087964,0.0003964468,0.029617047
38,Test_38,0.69393903,0.15498687,0.002877432,0.14819667
39,Test_39,8.838555e-05,0.004792695,0.9945562,0.00056270446
40,Test_40,1.9794639e-08,5.7415477e-09,0.9999994,6.0113956e-07
41,Test_41,0.001386738,0.2510862,0.74680966,0.00071737514
42,Test_42,0.0025154673,0.10537537,0.0006988347,0.89141035
43,Test_43,0.07482035,0.4302523,0.48390648,0.011020899
44,Test_44,0.80968916,0.089006625,0.00082613254,0.10047802
45,Test_45,0.75260204,0.11306169,0.0020551216,0.13228115
46,Test_46,0.1550459,0.14813644,0.0031370083,0.69368064
47,Test_47,3.6831585e-07,4.1283756e-06,0.9999765,1.8952496e-05
48,Test_48,0.0054190634,0.26857862,0.7243097,0.0016926468
49,Test_49,0.0003539332,0.00040976098,0.9992256,1.0750957e-05
50,Test_50,0.0024635536,0.32500383,0.67170143,0.0008311572
51,Test_51,9.303386e-08,4.0314045e-08,0.99999964,2.63908e-07
52,Test_52,3.583662e-06,3.1153659e-06,0.9999933,2.1978762e-08
53,Test_53,1.4759171e-06,4.6764878e-08,0.99999845,1.7806633e-09
54,Test_54,0.034712434,0.60627675,0.34915048,0.009860307
55,Test_55,0.86373234,0.10198847,0.00074542384,0.033533763
56,Test_56,0.6262858,0.15323684,0.004166295,0.21631102
57,Test_57,0.92234623,0.064678006,0.00019390583,0.012781911
58,Test_58,0.72870547,0.08887919,0.0013042025,0.1811111
59,Test_59,0.0087908,0.557292,0.43125582,0.0026614044
60,Test_60,0.005699692,0.102582425,0.00063365616,0.8910842
61,Test_61,0.90018696,0.06059837,0.00016751116,0.03904726
62,Test_62,0.043093886,0.8831955,0.054974847,0.018735673
63,Test_63,0.008927118,0.09526214,0.0008604251,0.8949503
64,Test_64,0.1503018,0.35644695,0.0067477045,0.48650357
65,Test_65,0.0027569726,0.17104428,0.825702,0.0004967799
